id;name;email;phone;value;discount;valor_com_desconto
52;Summer Jaquelyn;non.dui.nec@arcuNunc.edu;+559990153571;R$ 93,16;R$ 0.00;R$ 93,16
53;Alan Ezekiel;Curae@odio.org;+554106961671;R$ 48,69;R$ 0.00;R$ 48,69
54;Inga Riley;semper.auctor@Donecvitaeerat.com;+551962083252;R$ 81,58;R$ 0.00;R$ 81,58
55;Denton Christen;vulputate.risus.a@sapiencursus.co.uk;+559771178149;R$ 3,02;R$ 0.00;R$ 3,02
56;Rahim Denton;interdum@quis.org;+557505791161;R$ 50,97;R$ 0.00;R$ 50,97
57;Kasper Dylan;risus@felisegetvarius.com;+551400560221;R$ 96,63;R$ 0.00;R$ 96,63
58;Brandon Stewart;sed.sem@varius.edu;+550386112474;R$ 44,89;R$ 0.00;R$ 44,89
59;Clementine Hakeem;ipsum.non@Classaptent.edu;+555739327432;R$ 51,59;R$ 0.00;R$ 51,59
60;Hasad Travis;iaculis.nec.eleifend@egetodio.net;+553849847591;R$ 81,86;R$ 0.00;R$ 81,86
61;Yardley Roary;nibh@sedest.edu;+553438671731;R$ 73,20;R$ 0.00;R$ 73,20
62;Nissim Damian;sed@telluseuaugue.org;+553442398517;R$ 63,28;R$ 0.00;R$ 63,28
63;Octavius Raven;rhoncus.Donec@orci.com;+559332387401;R$ 23,44;R$ 0.00;R$ 23,44
64;Tyler Ali;malesuada.Integer@massa.com;+550663276658;R$ 79,02;R$ 0.00;R$ 79,02
65;Stacy Adele;eu@velit.com;+551584860124;R$ 10,74;R$ 0.00;R$ 10,74
66;Kieran Yvette;tellus.justo.sit@sit.org;+555959713405;R$ 32,30;R$ 0.00;R$ 32,30
67;Herrod Lillian;eu.augue.porttitor@a.co.uk;+555144101219;R$ 41,11;R$ 0.00;R$ 41,11
68;Jonas Flynn;mi.fringilla.mi@venenatis.com;+554914200187;R$ 79,35;R$ 0.00;R$ 79,35
69;Beau Marvin;at@nonummyacfeugiat.org;+555841067580;R$ 33,36;R$ 0.00;R$ 33,36
70;Sean Justine;et.commodo@pellentesqueegetdictum.edu;+557949431180;R$ 12,95;R$ 0.00;R$ 12,95
71;MacKensie Emi;amet.lorem.semper@enim.com;+559337663912;R$ 66,59;R$ 0.00;R$ 66,59
72;Ocean Kennedy;Morbi.quis@arcuAliquamultrices.ca;+553864932419;R$ 73,51;R$ 0.00;R$ 73,51
73;Sara Jennifer;lectus@Quisqueporttitor.org;+551944676354;R$ 41,11;R$ 0.00;R$ 41,11
74;Craig Katelyn;tellus@luctussit.edu;+552305587304;R$ 23,33;R$ 0.00;R$ 23,33
75;James Hamish;fringilla.est@cursuset.co.uk;+553677508785;R$ 69,74;R$ 0.00;R$ 69,74
76;Darrel Iola;mauris.rhoncus.id@atarcu.org;+553073353875;R$ 45,97;R$ 0.00;R$ 45,97
77;Nero Molly;non@egestasa.co.uk;+552266511614;R$ 12,44;R$ 0.00;R$ 12,44
78;Tasha Brianna;tincidunt.congue.turpis@semeget.com;+558396110994;R$ 22,50;R$ 0.00;R$ 22,50
79;Denton Kristen;natoque.penatibus.et@Integer.ca;+554495942907;R$ 53,35;R$ 0.00;R$ 53,35
80;Dante Brenna;amet.ornare.lectus@ante.org;+551209182346;R$ 72,91;R$ 0.00;R$ 72,91
81;Lynn Ahmed;sed.sapien@estNunc.com;+555208406975;R$ 33,72;R$ 0.00;R$ 33,72
82;Timothy Holmes;mollis.Duis.sit@pellentesque.edu;+555570338592;R$ 85,45;R$ 0.00;R$ 85,45
83;Indigo Nichole;auctor.odio@vestibulumneque.org;+559063751301;R$ 99,32;R$ 0.00;R$ 99,32
84;Gabriel Xavier;arcu@natoque.ca;+555832458887;R$ 69,65;R$ 0.00;R$ 69,65
85;Cruz Yoshio;semper@velit.edu;+552621849435;R$ 86,00;R$ 0.00;R$ 86,00
86;Asher Hamish;Cras.sed.leo@vulputateeu.co.uk;+555189053641;R$ 6,13;R$ 0.00;R$ 6,13
87;Colton Jasper;vitae.sodales@elitpretium.co.uk;+553579937651;R$ 15,18;R$ 0.00;R$ 15,18
88;Rina Reed;dui.quis@nunc.edu;+554481499802;R$ 30,65;R$ 0.00;R$ 30,65
89;Tanek Gail;mauris.sapien@urna.ca;+551122469242;R$ 47,82;R$ 0.00;R$ 47,82
90;Pandora Berk;interdum.Sed.auctor@eutellus.edu;+552544975579;R$ 93,63;R$ 0.00;R$ 93,63
91;Shana Geraldine;venenatis.a@ametnulla.ca;+558539984504;R$ 35,37;R$ 0.00;R$ 35,37
92;Baxter Heather;Aliquam.nisl@gravidanuncsed.edu;+557268418477;R$ 76,19;R$ 0.00;R$ 76,19
93;Marah Nomlanga;blandit@sollicitudinorci.co.uk;+552596884945;R$ 17,99;R$ 0.00;R$ 17,99
94;Porter Ava;Aliquam.adipiscing.lobortis@Sednulla.ca;+559491973729;R$ 38,73;R$ 0.00;R$ 38,73
95;Wing Sophia;Nulla.aliquet@erosNam.com;+555031091798;R$ 75,03;R$ 0.00;R$ 75,03
96;Palmer Lucas;tincidunt@vulputate.com;+557938271680;R$ 64,31;R$ 0.00;R$ 64,31
97;Medge Garrison;at@euodioPhasellus.co.uk;+552642873845;R$ 59,14;R$ 0.00;R$ 59,14
98;Alfreda Veronica;Maecenas.libero.est@nunc.com;+556236397032;R$ 12,26;R$ 0.00;R$ 12,26
99;Buffy Angelica;ipsum@Maecenas.net;+553105702421;R$ 1,70;R$ 0.00;R$ 1,70
100;Zachery Magee;faucibus@Namconsequatdolor.com;+550823723422;R$ 54,85;R$ 0.00;R$ 54,85
